DEBUG 2025-08-06 13:44:28,465 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
DEBUG 2025-08-06 13:44:28,622 [1    ] Abp.Modules.AbpModuleManager             - Found 15 ABP modules in total.
DEBUG 2025-08-06 13:44:28,631 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Apex_IT.Web.Host.Startup.Apex_ITWebHostModule, Apex_IT.Web.Host, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,633 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Apex_IT.Apex_ITWebCoreModule, Apex_IT.Web.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,634 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Apex_IT.Apex_ITApplicationModule, Apex_IT.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,634 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Apex_IT.Apex_ITCoreModule, Apex_IT.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,634 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCoreModule, Abp.ZeroCore, Version=9.4.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,634 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCommonModule, Abp.Zero.Common, Version=9.4.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,634 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AbpKernelModule, Abp, Version=9.4.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,635 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AutoMapper.AbpAutoMapperModule, Abp.AutoMapper, Version=9.4.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,636 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Apex_IT.EntityFrameworkCore.Apex_ITEntityFrameworkModule, Apex_IT.EntityFrameworkCore, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,636 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.EntityFrameworkCore.AbpZeroCoreEntityFrameworkCoreModule, Abp.ZeroCore.EntityFrameworkCore, Version=9.4.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,636 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule, Abp.EntityFrameworkCore, Version=9.4.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,636 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFramework.AbpEntityFrameworkCommonModule, Abp.EntityFramework.Common, Version=9.4.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,637 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetCore.AbpAspNetCoreModule, Abp.AspNetCore, Version=9.4.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,637 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.AbpWebCommonModule, Abp.Web.Common, Version=9.4.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,637 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetCore.SignalR.AbpAspNetCoreSignalRModule, Abp.AspNetCore.SignalR, Version=9.4.1.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:28,638 [1    ] Abp.Modules.AbpModuleManager             - 15 modules loaded.
DEBUG 2025-08-06 13:44:28,690 [1    ] o.Configuration.LanguageManagementConfig - Converted Abp (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2025-08-06 13:44:28,690 [1    ] o.Configuration.LanguageManagementConfig - Converted AbpZero (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2025-08-06 13:44:28,690 [1    ] o.Configuration.LanguageManagementConfig - Converted Apex_IT (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2025-08-06 13:44:28,690 [1    ] o.Configuration.LanguageManagementConfig - Converted AbpWeb (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2025-08-06 13:44:28,935 [1    ] ameworkCore.AbpEntityFrameworkCoreModule - Registering DbContext: Apex_IT.EntityFrameworkCore.Apex_ITDbContext, Apex_IT.EntityFrameworkCore, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2025-08-06 13:44:29,072 [1    ] Abp.Localization.LocalizationManager     - Initializing 4 localization sources.
DEBUG 2025-08-06 13:44:29,093 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: Abp
DEBUG 2025-08-06 13:44:29,100 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: AbpZero
DEBUG 2025-08-06 13:44:29,104 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: Apex_IT
DEBUG 2025-08-06 13:44:29,107 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: AbpWeb
DEBUG 2025-08-06 13:44:29,112 [1    ] Abp.BackgroundJobs.BackgroundJobManager  - Start background worker: Abp.BackgroundJobs.BackgroundJobManager
DEBUG 2025-08-06 13:44:29,117 [1    ] , Culture=neutral, PublicKeyToken=null]] - Start background worker: Abp.Authorization.Users.UserTokenExpirationWorker`2[[Apex_IT.MultiTenancy.Tenant, Apex_IT.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[Apex_IT.Authorization.Users.User, Apex_IT.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]]
